Opcode,SHA-256 Hash
rsb,4f50e3b27053738bf56a4b10b518253431a9285359a2d221609650500ac100d5
rsble,f5618088812382b6162774adfb2bb934f1efe2fe73f253d10d4e238c4a3cc801
orrle.w,bbe82f119401f051dbc74c1bf817a9d9e7d232fc58aeb5df4eb617c2c02d8e53
lslle,46e78a7ed98b2df621b8f18563ddab5ccba79eb4a5dfb9a9d172d5d49f65009b
ittt,848b08000bcaaaeae7568103a489173c2975e49723a93f45a419c765547512ce
addge.w,822ff259ea07f907aa96a520362cadf1c5956a26c62cea5ba8ef9fdaa9147a95
orrge,411a882cf1b7c8d3f4f6c3ca64df0398b80fbccfa104293a960628dceec39741
popge,7038b01a7b0f1a5538e01f3d01e234c02b16435bd6a46dff58132fb9defcdf06
mvn.w,c5355e74b9ed25bfb07e099f9aafdaaf7f1239d0e89447604d40c66b430a0a4d
bgt.n,49388304e967a4780202e29713bf8fba85bd3213b85785ef69f41654bd6d2d02
itte,b879c3fcd42f661d7f854dc49aebaf51605eeb6f68331d50367369edd9db9ab9
eoreq.w,0c7e8fd0dd0d8ac98b655a6a34f16bc63fa42159a547c568c7caf1788ac826ee
subne,e32960ecc18911f3d5b32ab608c1a0fa73cf5b6270b847f671737ba1294ea7f1
mvns.w,d89a99db1e602fbfe207204f158d2c4cd2cbd19f5ac6f4f25c870d3d9ff2ebb3
orrs.w,fa6c6ea91f35391e7a0f0a1b804ab278f1f1ed62b4ed46fab46f3c4bbd0a70ca
movne,93828664ff6fdd5c0546ce191c0e045cd32b2cc2f1d8d1396b8635929457fa2b
popne,ea507addacc0ae269f3dcca8e05a0e8fe06127868df1e570feba4fce4fc9d7b1
bne.n,aa51637ebf0cb488791870803341d1933f164c6df1671730fa6f30ef5d24d11b
lsls,52d1d604585021a168c6a9648e7dedbb8a2f434f12990280c32ee5ad21491b5f
adds.w,df9e4ad52a081d073de5c01f75ce0130befa2e2ed64357130ac1dfdf37ed41e3
addcc.w,4b8f0cb9e7046fcb2e411dafec773da19f333e83bef06a2c8e0b10f0e22b4a43
popcc,e68c7b49ac5bea3019e1e1386ee4157535e0c7cdcf969614ea6732fd324e8132
mvnseq.w,adaf8dafe78027a5c64dfa47f2ba3816f305a0e7a4eece676572e5e39ee9a86e
orrseq.w,facf0d8a4865d71e2d1299389356034252eadb96924c7343c715a7865e97192b
orrne.w,b3ac311bab8e4c6041526191af4167c59e7a35caf07d35cf7280b27b16cc0263
bxeq,56b98be2d20c80e4dd2afea67365951320f217f3b174699c40b597c76f3f7fca
ands.w,0f4b13a2564bfc020c4a68525dbe778f12e81c745c538afc06cd0162f278dcb7
negmi,a8297b20bcf05462a632ec5b01c031bc0e8fd902d3862ac40dd528129efc0a61
andsne.w,1241f678e63463a955ba2b2d5ec456619f192102794e8aa7ee1a013d01b61991
teqne,bb4a7f3295eaff9e49d19cc38e873715f2eede75687fe8b203220fd7a2c08dbe
eorne.w,e72e5c03d048a40a16ac3ce9402ec01bcefdc953b641c901de15b07bf66eb4b1
bxne,f8eb377d21ac974df52def95014434b97b107bdb806c4a5ce082ed71b45e6034
bics.w,ba796c8030885c4492f56f8fb2d98a50f534b183eaa89f3167799dbea904f535
orreq.w,e7ee9bce5b7792c5c7c3c6b1191b3a6cbd6ace8e79b2b3e3273d57cf958c7f1d
bic.w,6fecb3e26a44e465f005eff1923e8dc791a5e507ecb3ff82fa58833ba58a7860
addne,401d1b5de2532943b1198ca81f0aadcf425d2002e7220e91db6024dfb952d0ec
movsne.w,120225ea728c7c8b105fd15c780e4dd119e417612abd29b5d8456a6ca6e1ae3b
addgt,b19ecfbab82601c5b4fdcd99134822299433ab89fdd8f8854725b72bbf8fba4d
eorgt,bd95d53a5790b38db53a1e946c182f449990e19f532ba405f381e1866f0ac13a
bxhi,c58fab209a910929c489939cd1f72e400ed9aa20f8d7d9f8782d73ebc345453a
negne,a9da95c5d184d2fa47dec4069cfc98a896a44b55fd185d3d0ab16ebff43193c4
